z,a,year,method,reference
9,12,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
9,13,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
9,35,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
9,36,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,14,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,15,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,36,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,37,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,38,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,39,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
10,40,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
11,16,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
11,40,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,17,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,18,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,41,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,42,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,43,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,44,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,45,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,46,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
12,47,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,19,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,20,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,43,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,44,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,45,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,46,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,47,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,48,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,49,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
13,50,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
14,20,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
14,45,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
14,46,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
14,47,2019,VS-IMSRG,"Phys. Rev. Lett. 126 022501" 
