,A,Z,N,Nmax,pdim,ndim,dim
2941,44,17,27,4,20659534,NaN,NaN
2942,44,27,17,4,NaN,20659534,NaN
2943,45,17,28,4,20659534,NaN,NaN
2944,45,28,17,4,NaN,20659534,NaN
2945,36,18,18,4,15704597,15704597,-2035195669
2946,37,18,19,4,15704597,9572862,940659951
2947,37,19,18,4,9572862,15704597,940659951
2948,38,18,20,4,15704597,4557524,297969597
2949,38,20,18,4,4557524,15704597,297969597
2950,39,18,21,4,15704597,20339790,1718108721
2951,39,21,18,4,20339790,15704597,1718108721
2952,40,18,22,4,15704597,75830075,NaN
2953,40,22,18,4,75830075,15704597,NaN
2954,41,18,23,4,15704597,NaN,NaN
2955,41,23,18,4,NaN,15704597,NaN
2956,42,18,24,4,15704597,NaN,NaN
2957,42,24,18,4,NaN,15704597,NaN
2958,43,18,25,4,15704597,NaN,NaN
2959,43,25,18,4,NaN,15704597,NaN
2960,44,18,26,4,15704597,NaN,NaN
2961,44,26,18,4,NaN,15704597,NaN
2962,45,18,27,4,15704597,NaN,NaN
2963,45,27,18,4,NaN,15704597,NaN
2964,46,18,28,4,15704597,NaN,NaN
2965,46,28,18,4,NaN,15704597,NaN
2966,38,19,19,4,9572862,9572862,374349928
2967,39,19,20,4,9572862,4557524,109363540
2968,39,20,19,4,4557524,9572862,109363540
2969,40,19,21,4,9572862,20339790,673538018
2970,40,21,19,4,20339790,9572862,673538018
2971,41,19,22,4,9572862,75830075,NaN
2972,41,22,19,4,75830075,9572862,NaN
2973,42,19,23,4,9572862,NaN,NaN
2974,42,23,19,4,NaN,9572862,NaN
2975,43,19,24,4,9572862,NaN,NaN
2976,43,24,19,4,NaN,9572862,NaN
2977,44,19,25,4,9572862,NaN,NaN
2978,44,25,19,4,NaN,9572862,NaN
2979,45,19,26,4,9572862,NaN,NaN
2980,45,26,19,4,NaN,9572862,NaN
2981,46,19,27,4,9572862,NaN,NaN
2982,46,27,19,4,NaN,9572862,NaN
2983,47,19,28,4,9572862,NaN,NaN
2984,47,28,19,4,NaN,9572862,NaN
2985,40,20,20,4,4557524,4557524,29606819
2986,41,20,21,4,4557524,20339790,193528029
2987,41,21,20,4,20339790,4557524,193528029
2988,42,20,22,4,4557524,75830075,970634363
2989,42,22,20,4,75830075,4557524,970634363
2990,43,20,23,4,4557524,NaN,NaN
2991,43,23,20,4,NaN,4557524,NaN
2992,44,20,24,4,4557524,NaN,NaN
2993,44,24,20,4,NaN,4557524,NaN
2994,45,20,25,4,4557524,NaN,NaN
2995,45,25,20,4,NaN,4557524,NaN
2996,46,20,26,4,4557524,NaN,NaN
2997,46,26,20,4,NaN,4557524,NaN
2998,47,20,27,4,4557524,NaN,NaN
2999,47,27,20,4,NaN,4557524,NaN
3000,48,20,28,4,4557524,NaN,NaN
3001,48,28,20,4,NaN,4557524,NaN
3002,42,21,21,4,20339790,20339790,1211160184
3003,43,21,22,4,20339790,75830075,NaN
3004,43,22,21,4,75830075,20339790,NaN
3005,44,21,23,4,20339790,NaN,NaN
3006,44,23,21,4,NaN,20339790,NaN
3007,45,21,24,4,20339790,NaN,NaN
3008,45,24,21,4,NaN,20339790,NaN
3009,46,21,25,4,20339790,NaN,NaN
3010,46,25,21,4,NaN,20339790,NaN
3011,47,21,26,4,20339790,NaN,NaN
3012,47,26,21,4,NaN,20339790,NaN
3013,48,21,27,4,20339790,NaN,NaN
3014,48,27,21,4,NaN,20339790,NaN
3015,49,21,28,4,20339790,NaN,NaN
3016,49,28,21,4,NaN,20339790,NaN
3017,44,22,22,4,75830075,75830075,NaN
3018,45,22,23,4,75830075,NaN,NaN
3019,45,23,22,4,NaN,75830075,NaN
3020,46,22,24,4,75830075,NaN,NaN
3021,46,24,22,4,NaN,75830075,NaN
3022,47,22,25,4,75830075,NaN,NaN
3023,47,25,22,4,NaN,75830075,NaN
3024,48,22,26,4,75830075,NaN,NaN
3025,48,26,22,4,NaN,75830075,NaN
3026,49,22,27,4,75830075,NaN,NaN
3027,49,27,22,4,NaN,75830075,NaN
3028,50,22,28,4,75830075,NaN,NaN
3029,50,28,22,4,NaN,75830075,NaN
3030,46,23,23,4,NaN,NaN,NaN
3031,47,23,24,4,NaN,NaN,NaN
3032,47,24,23,4,NaN,NaN,NaN
3033,48,23,25,4,NaN,NaN,NaN
3034,48,25,23,4,NaN,NaN,NaN
3035,49,23,26,4,NaN,NaN,NaN
3036,49,26,23,4,NaN,NaN,NaN
3037,50,23,27,4,NaN,NaN,NaN
3038,50,27,23,4,NaN,NaN,NaN
3039,51,23,28,4,NaN,NaN,NaN
3040,51,28,23,4,NaN,NaN,NaN
3041,48,24,24,4,NaN,NaN,NaN
3042,49,24,25,4,NaN,NaN,NaN
3043,49,25,24,4,NaN,NaN,NaN
3044,50,24,26,4,NaN,NaN,NaN
3045,50,26,24,4,NaN,NaN,NaN
3046,51,24,27,4,NaN,NaN,NaN
3047,51,27,24,4,NaN,NaN,NaN
3048,52,24,28,4,NaN,NaN,NaN
3049,52,28,24,4,NaN,NaN,NaN
3050,50,25,25,4,NaN,NaN,NaN
3051,51,25,26,4,NaN,NaN,NaN
3052,51,26,25,4,NaN,NaN,NaN
3053,52,25,27,4,NaN,NaN,NaN
3054,52,27,25,4,NaN,NaN,NaN
3055,53,25,28,4,NaN,NaN,NaN
3056,53,28,25,4,NaN,NaN,NaN
3057,52,26,26,4,NaN,NaN,NaN
3058,53,26,27,4,NaN,NaN,NaN
3059,53,27,26,4,NaN,NaN,NaN
3060,54,26,28,4,NaN,NaN,NaN
3061,54,28,26,4,NaN,NaN,NaN
3062,54,27,27,4,NaN,NaN,NaN
3063,55,27,28,4,NaN,NaN,NaN
3064,55,28,27,4,NaN,NaN,NaN
3065,56,28,28,4,NaN,NaN,NaN
